ticker,latest_price,ret_5d,ret_1m,ret_3m,ret_ytd,bench_ret_5d,bench_ret_1m,bench_ret_3m,bench_ret_ytd,rel_5d,rel_1m,rel_3m,rs_status,ma20,ma50,distance_to_ma20_pct,distance_to_ma50_pct,distance_from_20d_high_pct,latest_volume,avg20_volume,volume_ratio,volume_signal,volatility_20d,setup_type,scan_timestamp,benchmark
DGICA,19.24,2.18,15.07,12.9,1.15,0.91,-0.98,13.77,10.03,1.27,16.05,-0.87,跑贏指數,18.087,17.4836,6.37,10.05,-0.26,92350,163522.0,0.56,量價背馳,22.27,強勢延續,2026-07-07 23:31:22,SPY
FWONK,98.83,5.72,14.96,14.65,0.81,0.91,-0.98,13.77,10.03,4.81,15.94,0.88,跑贏指數,91.9037,90.4055,7.54,9.32,-0.14,1644467,2171268.0,0.76,正常量能,19.72,強勢延續,2026-07-07 23:31:39,SPY
IONS,86.33,6.99,14.91,16.14,8.36,0.91,-0.98,13.77,10.03,6.08,15.89,2.37,跑贏指數,77.121,75.87,11.94,13.79,0.0,2646574,2137414.0,1.24,正常量能,27.64,強勢延續,2026-07-07 23:31:39,SPY
CALM,85.41,7.65,14.71,8.65,10.3,0.91,-0.98,13.77,10.03,6.74,15.69,-5.12,跑贏指數,79.677,77.7465,7.2,9.86,0.0,632787,828229.0,0.76,正常量能,30.51,強勢延續,2026-07-07 23:31:05,SPY
CASH,90.44,4.65,14.48,-1.7,25.99,0.91,-0.98,13.77,10.03,3.74,15.46,-15.47,跑贏指數,84.935,84.0433,6.48,7.61,0.0,160626,248361.0,0.65,量價背馳,23.99,強勢延續,2026-07-07 23:31:05,SPY
MMSI,72.14,2.92,14.44,6.39,-16.55,0.91,-0.98,13.77,10.03,2.01,15.42,-7.38,跑贏指數,68.506,65.3648,5.3,10.37,0.0,660955,878188.0,0.75,正常量能,28.18,強勢延續,2026-07-07 23:31:45,SPY
ACIC,11.52,3.78,14.17,3.69,1.23,0.91,-0.98,13.77,10.03,2.87,15.15,-10.08,跑贏指數,10.812,10.8974,6.55,5.71,-0.17,212712,344881.0,0.62,量價背馳,23.2,強勢延續,2026-07-07 23:31:05,SPY
ILMN,191.76,5.89,14.1,50.12,42.73,0.91,-0.98,13.77,10.03,4.98,15.08,36.35,跑贏指數,171.555,155.5516,11.78,23.28,-1.32,2582555,2062128.0,1.25,正常量能,42.95,強勢延續,2026-07-07 23:31:39,SPY
GRAB,3.93,5.08,13.58,10.39,-22.64,0.91,-0.98,13.77,10.03,4.17,14.56,-3.38,跑贏指數,3.5525,3.5996,10.63,9.18,0.0,44738650,56522732.0,0.79,正常量能,35.12,強勢延續,2026-07-07 23:31:39,SPY
FSBC,48.94,1.58,13.44,27.73,39.0,0.91,-0.98,13.77,10.03,0.67,14.42,13.96,跑贏指數,46.3235,43.3494,5.65,12.9,-1.25,122062,163343.0,0.75,正常量能,17.79,強勢延續,2026-07-07 23:31:22,SPY
GYRE,7.01,8.68,13.25,-1.54,2.94,0.91,-0.98,13.77,10.03,7.77,14.23,-15.31,跑贏指數,6.328,6.5932,10.78,6.32,-4.5,106079,121879.0,0.87,正常量能,62.09,強勢延續,2026-07-07 23:31:39,SPY
LIFE,19.45,2.91,13.21,59.43,15.43,0.91,-0.98,13.77,10.03,2.0,14.19,45.66,跑贏指數,17.5035,19.3716,11.12,0.4,-0.71,576570,454404.0,1.27,正常量能,94.64,強勢延續,2026-07-07 23:31:39,SPY
LMAT,105.7,10.1,12.98,-2.93,32.48,0.91,-0.98,13.77,10.03,9.19,13.96,-16.7,跑贏指數,95.2605,99.2062,10.96,6.55,0.0,366938,381522.0,0.96,正常量能,37.65,強勢延續,2026-07-07 23:31:45,SPY
EBC,22.52,2.04,12.94,13.28,23.21,0.91,-0.98,13.77,10.03,1.13,13.92,-0.49,跑贏指數,21.3165,20.3248,5.65,10.8,-0.84,2497216,5209951.0,0.48,縮量回踩,21.6,強勢延續,2026-07-07 23:31:22,SPY
CBSH,58.84,1.29,12.77,18.37,13.84,0.91,-0.98,13.77,10.03,0.38,13.75,4.6,跑贏指數,56.2625,53.4173,4.58,10.15,0.0,763557,1391738.0,0.55,量價背馳,15.94,強勢延續,2026-07-07 23:31:05,SPY
IGIC,28.25,8.86,12.77,12.22,19.03,0.91,-0.98,13.77,10.03,7.95,13.75,-1.55,跑贏指數,25.9228,25.4874,8.98,10.84,0.0,150339,85832.0,1.75,放量突破,32.38,強勢延續,2026-07-07 23:31:39,SPY
HQY,96.98,10.44,12.73,16.23,6.49,0.91,-0.98,13.77,10.03,9.53,13.71,2.46,跑贏指數,88.698,86.2736,9.34,12.41,0.0,664564,1023543.0,0.65,量價背馳,31.33,強勢延續,2026-07-07 23:31:39,SPY
FITB,57.92,2.73,12.61,22.65,23.37,0.91,-0.98,13.77,10.03,1.82,13.59,8.88,跑贏指數,54.5547,51.3136,6.17,12.87,0.0,5899076,7696049.0,0.77,正常量能,22.24,強勢延續,2026-07-07 23:31:22,SPY
CASS,52.6,2.49,12.51,18.35,31.44,0.91,-0.98,13.77,10.03,1.58,13.49,4.58,跑贏指數,50.167,47.8954,4.85,9.82,0.0,46390,99880.0,0.46,量價背馳,19.29,強勢延續,2026-07-07 23:31:05,SPY
HBT,32.23,1.19,12.5,18.83,27.4,0.91,-0.98,13.77,10.03,0.28,13.48,5.06,跑贏指數,31.0255,29.2032,3.88,10.36,-1.56,109469,251118.0,0.44,縮量回踩,21.2,強勢延續,2026-07-07 23:31:39,SPY
HSTM,28.45,4.87,12.5,39.68,25.23,0.91,-0.98,13.77,10.03,3.96,13.48,25.91,跑贏指數,26.588,24.662,7.0,15.36,-2.13,197082,219289.0,0.9,正常量能,26.66,強勢延續,2026-07-07 23:31:39,SPY
MGEE,83.07,3.53,12.47,5.94,6.52,0.91,-0.98,13.77,10.03,2.62,13.45,-7.83,跑贏指數,78.708,77.4404,5.54,7.27,-1.38,211503,338050.0,0.63,量價背馳,21.02,強勢延續,2026-07-07 23:31:45,SPY
FFBC,34.31,1.21,12.34,20.01,37.98,0.91,-0.98,13.77,10.03,0.3,13.32,6.24,跑贏指數,32.7415,31.3222,4.79,9.54,-1.04,956139,1066472.0,0.9,正常量能,18.04,強勢延續,2026-07-07 23:31:22,SPY
GLBE,36.92,3.39,12.25,17.73,-2.48,0.91,-0.98,13.77,10.03,2.48,13.23,3.96,跑贏指數,33.887,32.0014,8.95,15.37,-1.05,1394459,1810643.0,0.77,正常量能,43.7,強勢延續,2026-07-07 23:31:39,SPY
JKHY,146.71,7.3,12.22,-7.2,-17.44,0.91,-0.98,13.77,10.03,6.39,13.2,-20.97,跑贏指數,132.144,138.2446,11.02,6.12,-0.11,1385854,1726663.0,0.8,正常量能,34.04,強勢延續,2026-07-07 23:31:39,SPY
IRON,79.76,7.06,12.16,21.18,0.85,0.91,-0.98,13.77,10.03,6.15,13.14,7.41,跑贏指數,71.528,69.539,11.51,14.7,0.0,1243606,853880.0,1.46,正常量能,33.94,強勢延續,2026-07-07 23:31:39,SPY
ICFI,76.98,3.34,12.12,14.02,-9.39,0.91,-0.98,13.77,10.03,2.43,13.1,0.25,跑贏指數,71.2955,69.4905,7.97,10.78,0.0,310221,295741.0,1.05,正常量能,57.6,強勢延續,2026-07-07 23:31:39,SPY
KOD,38.3,1.48,12.12,-1.79,47.19,0.91,-0.98,13.77,10.03,0.57,13.1,-15.56,跑贏指數,35.3235,37.4912,8.43,2.16,-1.69,565577,858199.0,0.66,量價背馳,66.54,強勢延續,2026-07-07 23:31:39,SPY
APEI,59.34,11.9,11.98,1.78,64.15,0.91,-0.98,13.77,10.03,10.99,12.96,-11.99,跑贏指數,53.725,54.0358,10.45,9.82,0.0,500625,284631.0,1.76,放量突破,33.95,強勢延續,2026-07-07 23:31:05,SPY
COLL,36.44,1.28,11.47,11.81,-19.96,0.91,-0.98,13.77,10.03,0.37,12.45,-1.96,跑贏指數,35.079,34.4762,3.88,5.7,-2.75,471253,464978.0,1.01,正常量能,35.62,強勢延續,2026-07-07 23:31:22,SPY
GLPG,30.39,5.37,11.44,2.12,-7.83,0.91,-0.98,13.77,10.03,4.46,12.42,-11.65,跑贏指數,28.8575,28.2784,5.31,7.47,0.0,159238,176634.0,0.9,正常量能,20.04,強勢延續,2026-07-07 23:31:39,SPY
FULT,24.23,1.13,11.41,17.58,26.62,0.91,-0.98,13.77,10.03,0.22,12.39,3.81,跑贏指數,23.3417,22.0869,3.81,9.7,-0.94,2118982,2347959.0,0.9,正常量能,19.99,強勢延續,2026-07-07 23:31:39,SPY
ABNB,148.8,1.11,11.28,17.34,11.87,0.91,-0.98,13.77,10.03,0.2,12.26,3.57,跑贏指數,140.699,138.0982,5.76,7.75,-0.09,2282366,3852918.0,0.59,量價背馳,33.85,強勢延續,2026-07-07 23:31:05,SPY
MDXG,4.2,7.42,11.11,8.25,-35.19,0.91,-0.98,13.77,10.03,6.51,12.09,-5.52,跑贏指數,3.7925,3.6648,10.74,14.6,0.0,1477829,1317441.0,1.12,正常量能,29.32,強勢延續,2026-07-07 23:31:45,SPY
CWBC,27.03,0.97,11.01,16.49,23.78,0.91,-0.98,13.77,10.03,0.06,11.99,2.72,跑贏指數,26.066,24.7027,3.7,9.42,-1.57,210844,587952.0,0.36,縮量回踩,23.7,強勢延續,2026-07-07 23:31:22,SPY
